,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Abraham Lincoln Birthplace NHP,"271,231","239,074","252,245","318,707","256,126","258,023","264,905","265,759",,
,Acadia NP,"2,787,366","2,779,666","2,997,972","3,572,114","4,124,639","3,734,763","3,745,570","3,391,727",,
,Adams NHP,"34,322","24,974","27,055","25,440","26,162","23,398","24,555","26,558",,
,Agate Fossil Beds NM,"8,115","8,330","9,459","9,018","10,097","10,317","10,366","9,386",,
,Alibates Flint Quarries NM,"1,922","2,211","2,384","2,398","1,919","2,251","2,200","2,184",,
,Allegheny Portage Railroad NHS,"58,225","73,995","65,557","60,069","55,148","59,635","69,523","63,165",,
,Amistad NRA,"1,261,846","1,084,689","976,414","1,259,668","1,221,445","1,164,338","1,139,366","1,158,252",,
,Andersonville NHS,"151,123","126,700","113,697","104,053","110,921","101,029","118,440","117,995",,
,Andrew Johnson NHS,"47,674","65,591","74,100","77,578","119,410","84,889","68,607","76,836",,
,Antietam NB,"319,610","352,780","468,078","410,399","433,122","528,369","585,190","442,507",,
,Apostle Islands NL,"75,629","88,467","103,960","125,756","130,913","127,300","117,353","109,911",,
,Appomattox Court House NHP,"208,411","218,724","244,968","240,405","246,277","318,027","277,613","250,632",,
,Arches NP,"269,840","290,519","326,508","339,415","287,875","345,180","363,464","317,543",,
,Arkansas Post NMEM,"61,507","63,002","53,538","58,349","55,443","58,297","55,113","57,893",,
,Arlington House The R.E. Lee MEM,"459,346","484,364","336,593","511,982","514,863","635,748","496,848","491,392",,
,Assateague Island NS,"1,674,861","1,967,525","2,019,316","2,019,438","2,150,285","2,024,519","2,304,906","2,022,979",,
,Aztec Ruins NM,"58,064","56,844","64,902","60,878","61,693","58,394","58,187","59,852",,
,Badlands NP,"858,000","952,652","1,175,952","1,030,484","1,026,981","1,113,675","950,242","1,015,427",,
,Bandelier NM,"161,336","176,410","197,574","210,850","199,775","215,500","238,434","199,983",,
,Bent's Old Fort NHS,"94,653","54,529","45,843","44,318","40,173","38,330","42,875","51,532",,
,Big Bend NP,"282,941","174,008","167,332","180,144","164,926","167,665","188,045","189,294",,
,Big Hole NB,"41,186","37,317","43,176","41,128","46,748","37,695","34,603","40,265",,
,Big Thicket NPRES,,,"22,763","43,824","33,355","81,548","77,664","51,831",,
,Bighorn Canyon NRA,"297,152","322,728","341,157","391,017","373,150","379,625","456,020","365,836",,
,Biscayne NP,"202,938","248,071","305,502","348,219","369,082","340,567","460,921","325,043",,
,Black Canyon of the Gunnison NP,"234,286","336,119","266,604","227,428","291,618","253,048","266,012","267,874",,
