,,,,,,,,,,,,,,,,,,,,,,,,
Annual Visitation Report by Years: 2005 to 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,,,,,,,,,,,,,,
,Park Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Average
,Abraham Lincoln Birthplace NHP,"200,054","202,950","200,404","221,111","177,122","163,568","169,515","163,928","241,264",,,"148,605","252,495","269,580","260,964","238,226","228,141","251,188","265,707","239,950","249,166","212,899","217,842"
,Acadia NP,"2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129",,,"2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098","3,970,260","3,879,890","3,961,661","4,079,318","2,997,265"
,Adams NHP,"225,318","224,880","241,536","253,656","73,339","219,975","336,031","285,501","178,468",,,"183,632","199,301","255,562","121,007","187,400","6,937","20,679","12,848","25,229","45,656","48,726","157,284"
,African Burial Ground NM,,,,,"117,113","108,585","77,624","93,234","54,861",,,"56,348","46,526","43,182","45,035","47,427","7,908","9,167","29,743","40,817","36,007","32,465","52,878"
,Agate Fossil Beds NM,"13,521","12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440",,,"13,264","15,555","32,038","16,238","16,657","8,722","18,264","16,357","15,562","19,395","16,827","14,971"
,Alagnak WR,,,,,,,,,,,,,,,,,,262,184,231,278,375,266
,Alibates Flint Quarries NM,"1,882","4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513",,,"9,492","8,153","6,613","7,415","8,847","4,269","9,526","7,520","6,006","8,558","8,054","5,630"
,Allegheny Portage Railroad NHS,"121,009","123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883",,,"168,433","189,371","201,837","189,047","189,189","136,029","187,919","176,144","199,612","193,903","162,905","155,852"
,Amache NHS,,,,,,,,,,,,,,,,,,,,,"4,771","8,113","6,442"
,Amistad NRA,"1,599,271","1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096",,,"1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,424,139","1,091,897","912,283","836,733","832,294","734,293","1,313,475"
,Andersonville NHS,"132,153","153,686","159,592","136,267","121,535","108,812","122,883","98,771","127,189",,,"136,686","134,216","132,149","138,164","103,635","63,799","45,084","60,109","77,740","72,925","61,850","109,362"
,Andrew Johnson NHS,"50,701","43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863",,,"45,357","45,937","53,998","50,671","51,189","46,092","63,720","52,873","61,086","55,270","43,203","52,299"
