Contiguous U.S. CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,22.92
1911,24.16
1912,35.92
1913,19.26
1914,19.90
1915,21.38
1916,28.98
1917,33.94
1918,11.68
1919,20.14
1920,19.22
1921,24.34
1922,18.08
1923,20.22
1924,31.40
1925,11.88
1926,17.26
1927,19.24
1928,11.18
1929,25.78
1930,15.60
1931,24.94
1932,13.62
1933,22.20
1934,36.20
1935,11.12
1936,18.44
1937,12.70
1938,15.68
1939,17.46
1940,22.24
1941,28.32
1942,13.24
1943,11.26
1944,13.50
1945,11.74
1946,10.56
1947,8.86
1948,15.68
1949,14.32
1950,23.36
1951,24.40
1952,13.54
1953,20.46
1954,27.76
1955,20.82
1956,16.94
1957,14.94
1958,20.90
1959,10.78
1960,13.62
1961,14.28
1962,8.48
1963,17.92
1964,18.30
1965,14.38
1966,18.06
1967,7.08
1968,16.96
1969,11.68
1970,8.74
1971,10.92
1972,14.86
1973,17.56
1974,10.64
1975,18.60
1976,23.96
1977,9.38
1978,20.46
1979,24.34
1980,10.44
1981,17.30
1982,19.28
1983,25.52
1984,14.98
1985,17.94
1986,14.42
1987,19.30
1988,16.50
1989,17.42
1990,19.30
1991,14.76
1992,17.40
1993,21.52
1994,9.90
1995,15.62
1996,30.52
1997,14.52
1998,38.62
1999,22.28
2000,11.56
2001,15.06
2002,14.90
2003,22.40
2004,13.98
2005,14.76
2006,27.32
2007,25.16
2008,15.46
2009,13.76
2010,21.08
2011,22.94
2012,47.26
2013,17.36
2014,25.74
2015,39.50
2016,40.06
2017,34.08
2018,28.28
2019,28.84
2020,32.30
2021,38.14
2022,17.58
2023,30.80
2024,45.90
2025,31.66
