Contiguous U.S. With Tropical Cyclone Indicator Annual (January-December) 1910-2025
Date,Percentage Area
1910,22.05
1911,21.70
1912,32.65
1913,18.07
1914,16.58
1915,25.55
1916,33.97
1917,28.70
1918,11.62
1919,21.57
1920,17.58
1921,23.43
1922,15.07
1923,18.97
1924,27.93
1925,10.73
1926,21.93
1927,16.03
1928,14.32
1929,24.13
1930,13.00
1931,20.78
1932,17.17
1933,29.18
1934,32.77
1935,13.55
1936,18.82
1937,11.03
1938,15.65
1939,15.93
1940,20.52
1941,29.53
1942,13.32
1943,10.53
1944,16.25
1945,14.73
1946,10.02
1947,16.70
1948,18.98
1949,16.62
1950,27.32
1951,20.33
1952,12.75
1953,21.43
1954,29.50
1955,22.72
1956,14.40
1957,16.80
1958,17.42
1959,14.03
1960,18.83
1961,15.68
1962,7.07
1963,14.93
1964,24.93
1965,18.35
1966,16.95
1967,9.67
1968,15.83
1969,15.37
1970,11.23
1971,12.73
1972,14.03
1973,14.63
1974,10.73
1975,17.05
1976,21.92
1977,7.82
1978,17.05
1979,25.77
1980,10.13
1981,14.73
1982,16.07
1983,23.25
1984,13.30
1985,27.03
1986,13.05
1987,16.08
1988,15.12
1989,19.43
1990,16.08
1991,15.45
1992,21.40
1993,19.28
1994,9.22
1995,18.57
1996,29.52
1997,12.97
1998,39.77
1999,24.08
2000,9.63
2001,13.43
2002,17.23
2003,21.87
2004,25.00
2005,27.70
2006,23.08
2007,22.25
2008,21.38
2009,11.47
2010,17.57
2011,21.32
2012,39.83
2013,14.47
2014,21.87
2015,32.92
2016,35.38
2017,37.92
2018,28.27
2019,26.27
2020,41.42
2021,38.45
2022,19.87
2023,29.05
2024,46.50
2025,26.38
