Northeast CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,21.24
1911,26.04
1912,25.66
1913,23.36
1914,43.44
1915,19.60
1916,23.38
1917,44.52
1918,30.88
1919,3.16
1920,19.88
1921,24.48
1922,12.46
1923,25.94
1924,57.50
1925,11.92
1926,38.48
1927,7.00
1928,12.10
1929,5.94
1930,16.18
1931,17.88
1932,10.76
1933,7.10
1934,22.78
1935,12.68
1936,10.52
1937,11.42
1938,6.26
1939,7.36
1940,41.38
1941,19.02
1942,9.96
1943,17.12
1944,6.86
1945,17.10
1946,14.62
1947,1.84
1948,13.04
1949,21.44
1950,15.76
1951,6.74
1952,12.56
1953,22.90
1954,18.82
1955,13.20
1956,13.48
1957,16.58
1958,28.58
1959,0.08
1960,7.46
1961,1.36
1962,24.32
1963,27.46
1964,16.32
1965,15.70
1966,16.84
1967,10.06
1968,5.58
1969,1.68
1970,1.26
1971,7.62
1972,37.62
1973,24.72
1974,9.74
1975,14.48
1976,24.34
1977,18.34
1978,26.90
1979,19.40
1980,10.62
1981,6.80
1982,6.48
1983,6.50
1984,3.18
1985,11.92
1986,6.22
1987,5.30
1988,6.02
1989,12.98
1990,31.94
1991,27.24
1992,16.28
1993,2.10
1994,11.68
1995,6.40
1996,31.08
1997,5.90
1998,47.08
1999,36.50
2000,11.58
2001,21.96
2002,15.50
2003,31.32
2004,21.68
2005,28.68
2006,63.70
2007,10.68
2008,23.52
2009,15.92
2010,33.88
2011,63.14
2012,47.48
2013,16.46
2014,10.74
2015,18.00
2016,37.78
2017,29.90
2018,34.96
2019,39.68
2020,43.76
2021,54.70
2022,20.64
2023,60.38
2024,54.54
2025,15.24
