Northern Rockies and Plains CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,18.08
1911,30.22
1912,34.96
1913,17.46
1914,11.42
1915,25.18
1916,54.72
1917,40.94
1918,7.68
1919,16.48
1920,15.22
1921,16.74
1922,16.48
1923,21.72
1924,33.46
1925,11.48
1926,8.88
1927,34.16
1928,17.92
1929,32.70
1930,10.48
1931,41.58
1932,6.74
1933,17.80
1934,57.76
1935,13.36
1936,24.38
1937,26.30
1938,12.02
1939,22.68
1940,12.60
1941,16.08
1942,16.66
1943,8.34
1944,19.62
1945,9.00
1946,11.64
1947,11.70
1948,8.82
1949,10.00
1950,34.28
1951,47.72
1952,14.38
1953,15.38
1954,20.38
1955,20.30
1956,9.74
1957,7.20
1958,4.58
1959,1.80
1960,10.30
1961,15.02
1962,3.30
1963,7.56
1964,14.02
1965,15.70
1966,9.96
1967,5.62
1968,14.42
1969,10.60
1970,9.00
1971,13.52
1972,13.72
1973,15.36
1974,5.32
1975,16.76
1976,15.12
1977,9.84
1978,34.52
1979,19.40
1980,9.30
1981,29.96
1982,24.70
1983,12.48
1984,14.28
1985,17.98
1986,13.24
1987,34.98
1988,34.32
1989,14.46
1990,18.70
1991,10.18
1992,6.74
1993,36.22
1994,11.70
1995,19.30
1996,34.54
1997,11.94
1998,33.98
1999,31.60
2000,8.44
2001,24.42
2002,12.80
2003,12.98
2004,11.52
2005,19.50
2006,36.94
2007,35.18
2008,10.90
2009,14.74
2010,26.96
2011,18.32
2012,49.00
2013,18.04
2014,12.96
2015,41.60
2016,44.50
2017,15.28
2018,16.46
2019,45.46
2020,11.84
2021,36.24
2022,16.90
2023,20.36
2024,44.28
2025,33.96
