Northwest CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,10.42
1911,36.50
1912,34.18
1913,36.92
1914,9.88
1915,3.90
1916,54.24
1917,18.02
1918,8.12
1919,41.44
1920,25.44
1921,12.00
1922,40.46
1923,18.72
1924,24.18
1925,14.32
1926,15.70
1927,13.36
1928,7.60
1929,49.36
1930,30.30
1931,20.58
1932,18.30
1933,19.28
1934,55.96
1935,34.24
1936,19.94
1937,25.58
1938,1.68
1939,25.54
1940,24.82
1941,13.26
1942,16.36
1943,18.28
1944,13.24
1945,10.84
1946,5.02
1947,1.74
1948,54.56
1949,23.90
1950,20.36
1951,16.30
1952,22.36
1953,20.70
1954,15.50
1955,42.58
1956,11.46
1957,6.76
1958,27.00
1959,18.02
1960,0.96
1961,3.84
1962,3.54
1963,3.74
1964,31.24
1965,12.90
1966,11.76
1967,4.60
1968,8.72
1969,2.24
1970,9.64
1971,22.18
1972,8.08
1973,0.60
1974,12.68
1975,29.84
1976,10.16
1977,5.96
1978,0.58
1979,3.56
1980,13.14
1981,25.40
1982,36.42
1983,36.54
1984,46.74
1985,37.92
1986,2.74
1987,27.26
1988,10.42
1989,0.18
1990,16.66
1991,6.84
1992,38.26
1993,15.92
1994,14.00
1995,32.52
1996,49.30
1997,25.82
1998,44.12
1999,11.64
2000,1.32
2001,19.02
2002,13.00
2003,31.42
2004,13.62
2005,7.78
2006,21.96
2007,15.68
2008,2.92
2009,4.00
2010,15.28
2011,11.86
2012,25.60
2013,5.46
2014,31.04
2015,71.86
2016,27.94
2017,18.00
2018,13.72
2019,6.54
2020,22.90
2021,45.38
2022,18.18
2023,15.00
2024,33.90
2025,42.84
