Ohio Valley CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,17.54
1911,10.94
1912,37.36
1913,6.82
1914,20.24
1915,8.40
1916,12.10
1917,42.00
1918,11.42
1919,7.18
1920,9.66
1921,40.22
1922,14.72
1923,8.10
1924,35.12
1925,10.22
1926,16.40
1927,21.92
1928,9.94
1929,24.04
1930,16.64
1931,42.54
1932,5.40
1933,18.34
1934,25.44
1935,5.10
1936,19.40
1937,10.52
1938,25.70
1939,13.90
1940,34.36
1941,21.42
1942,9.66
1943,10.06
1944,11.74
1945,12.14
1946,17.32
1947,5.06
1948,3.68
1949,7.20
1950,37.04
1951,21.82
1952,4.36
1953,40.90
1954,34.64
1955,12.56
1956,10.26
1957,5.34
1958,35.86
1959,5.16
1960,21.32
1961,7.32
1962,5.76
1963,33.80
1964,17.82
1965,7.28
1966,23.40
1967,3.82
1968,12.46
1969,17.08
1970,9.62
1971,6.74
1972,16.88
1973,27.92
1974,17.36
1975,15.46
1976,32.80
1977,7.42
1978,34.86
1979,46.68
1980,11.62
1981,11.20
1982,12.30
1983,8.82
1984,7.80
1985,20.24
1986,12.48
1987,13.66
1988,25.00
1989,28.36
1990,26.50
1991,21.22
1992,9.52
1993,32.30
1994,16.42
1995,9.22
1996,34.12
1997,11.72
1998,43.44
1999,26.62
2000,15.82
2001,5.90
2002,14.02
2003,21.12
2004,20.44
2005,6.90
2006,19.08
2007,27.58
2008,29.32
2009,25.88
2010,19.06
2011,25.54
2012,48.00
2013,19.20
2014,30.30
2015,29.10
2016,38.50
2017,40.70
2018,34.74
2019,41.60
2020,35.34
2021,33.84
2022,6.14
2023,38.88
2024,43.74
2025,19.74
