South CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,22.58
1911,25.78
1912,33.02
1913,12.22
1914,23.52
1915,30.32
1916,17.56
1917,39.62
1918,16.90
1919,26.24
1920,15.48
1921,32.00
1922,6.34
1923,14.78
1924,26.24
1925,20.52
1926,7.94
1927,20.56
1928,8.14
1929,16.12
1930,8.88
1931,14.48
1932,11.04
1933,31.82
1934,32.92
1935,14.46
1936,23.90
1937,8.00
1938,23.96
1939,16.30
1940,23.94
1941,37.70
1942,18.24
1943,12.90
1944,6.88
1945,15.42
1946,14.84
1947,6.16
1948,4.66
1949,14.92
1950,12.52
1951,24.58
1952,17.14
1953,21.56
1954,46.68
1955,18.90
1956,32.28
1957,22.88
1958,29.44
1959,10.30
1960,18.70
1961,30.80
1962,6.06
1963,21.26
1964,11.18
1965,8.32
1966,20.98
1967,6.10
1968,36.46
1969,12.00
1970,8.12
1971,4.04
1972,5.16
1973,28.06
1974,19.66
1975,14.74
1976,31.66
1977,5.40
1978,17.48
1979,41.90
1980,11.52
1981,10.84
1982,4.84
1983,32.02
1984,5.22
1985,18.96
1986,14.54
1987,15.62
1988,12.86
1989,22.28
1990,9.02
1991,20.52
1992,22.40
1993,25.68
1994,7.12
1995,10.86
1996,14.30
1997,19.98
1998,34.78
1999,24.74
2000,15.56
2001,13.14
2002,8.10
2003,8.48
2004,13.50
2005,11.10
2006,32.12
2007,22.66
2008,17.74
2009,17.28
2010,11.50
2011,38.86
2012,54.36
2013,16.02
2014,15.10
2015,34.48
2016,42.18
2017,33.32
2018,18.28
2019,27.00
2020,24.36
2021,15.24
2022,22.42
2023,46.02
2024,49.88
2025,32.38
