Southeast CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,17.82
1911,15.52
1912,32.44
1913,2.46
1914,16.00
1915,15.38
1916,6.40
1917,30.76
1918,6.18
1919,10.36
1920,25.32
1921,24.96
1922,17.48
1923,3.86
1924,21.36
1925,20.88
1926,18.10
1927,26.98
1928,22.54
1929,27.02
1930,14.32
1931,19.40
1932,19.92
1933,23.54
1934,8.88
1935,5.70
1936,19.34
1937,10.16
1938,11.42
1939,7.88
1940,42.66
1941,22.54
1942,11.72
1943,21.92
1944,10.50
1945,7.44
1946,7.98
1947,17.60
1948,21.30
1949,13.78
1950,6.94
1951,11.04
1952,8.22
1953,17.12
1954,34.64
1955,20.14
1956,13.42
1957,10.26
1958,36.66
1959,9.88
1960,25.78
1961,16.18
1962,9.70
1963,32.44
1964,28.72
1965,9.86
1966,34.94
1967,20.48
1968,29.38
1969,33.52
1970,4.74
1971,12.36
1972,17.62
1973,14.18
1974,10.22
1975,30.70
1976,36.10
1977,9.20
1978,14.70
1979,26.02
1980,3.36
1981,30.34
1982,9.46
1983,28.12
1984,13.28
1985,11.36
1986,17.82
1987,2.36
1988,21.86
1989,19.00
1990,39.98
1991,23.32
1992,21.58
1993,2.86
1994,15.38
1995,12.62
1996,15.68
1997,6.76
1998,43.84
1999,20.10
2000,19.98
2001,13.30
2002,17.82
2003,23.36
2004,11.68
2005,4.92
2006,20.56
2007,41.42
2008,8.94
2009,12.26
2010,16.52
2011,26.32
2012,31.48
2013,34.56
2014,13.52
2015,32.70
2016,41.66
2017,41.92
2018,46.74
2019,43.56
2020,51.98
2021,23.94
2022,17.16
2023,36.06
2024,55.06
2025,14.76
