Southwest CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,35.12
1911,21.22
1912,50.12
1913,36.94
1914,29.50
1915,43.44
1916,31.56
1917,21.36
1918,19.40
1919,32.02
1920,41.42
1921,22.92
1922,19.92
1923,34.40
1924,26.30
1925,8.16
1926,14.14
1927,12.82
1928,8.14
1929,24.12
1930,19.78
1931,16.76
1932,28.52
1933,18.60
1934,47.24
1935,11.08
1936,8.28
1937,8.72
1938,6.96
1939,11.60
1940,11.72
1941,48.20
1942,19.74
1943,5.42
1944,19.72
1945,9.44
1946,2.66
1947,15.12
1948,18.72
1949,13.70
1950,20.42
1951,11.84
1952,5.64
1953,11.72
1954,31.60
1955,19.28
1956,25.08
1957,19.38
1958,14.86
1959,3.86
1960,9.68
1961,13.10
1962,3.10
1963,11.26
1964,24.50
1965,24.46
1966,14.88
1967,4.08
1968,11.18
1969,2.40
1970,12.90
1971,12.84
1972,6.26
1973,23.08
1974,7.92
1975,26.98
1976,10.68
1977,7.62
1978,9.82
1979,14.68
1980,12.24
1981,13.76
1982,15.84
1983,34.52
1984,24.88
1985,20.70
1986,21.16
1987,19.80
1988,8.64
1989,20.18
1990,13.78
1991,8.34
1992,21.44
1993,18.64
1994,8.34
1995,10.70
1996,18.82
1997,18.04
1998,19.94
1999,15.24
2000,19.50
2001,12.44
2002,26.50
2003,49.10
2004,5.80
2005,14.44
2006,7.06
2007,20.86
2008,9.90
2009,7.66
2010,7.24
2011,18.66
2012,57.70
2013,12.02
2014,35.20
2015,38.58
2016,33.22
2017,45.44
2018,41.04
2019,11.00
2020,40.66
2021,53.76
2022,13.20
2023,13.02
2024,41.26
2025,52.56
