Upper Midwest CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,31.08
1911,21.70
1912,43.42
1913,15.14
1914,14.58
1915,7.30
1916,26.64
1917,46.20
1918,10.44
1919,6.42
1920,8.04
1921,31.38
1922,9.70
1923,19.92
1924,40.70
1925,8.80
1926,26.14
1927,8.24
1928,10.38
1929,35.58
1930,12.90
1931,56.80
1932,6.00
1933,17.98
1934,35.08
1935,9.70
1936,20.20
1937,15.04
1938,16.54
1939,16.88
1940,12.14
1941,12.18
1942,3.68
1943,10.84
1944,6.92
1945,9.16
1946,8.76
1947,3.44
1948,10.58
1949,12.80
1950,45.16
1951,51.12
1952,13.10
1953,14.32
1954,7.20
1955,9.00
1956,12.60
1957,10.08
1958,16.72
1959,11.24
1960,16.96
1961,10.52
1962,4.10
1963,17.14
1964,16.16
1965,16.08
1966,17.96
1967,7.34
1968,9.66
1969,5.72
1970,5.22
1971,9.20
1972,37.76
1973,15.80
1974,4.80
1975,7.48
1976,26.24
1977,14.44
1978,28.40
1979,33.86
1980,13.34
1981,12.12
1982,15.50
1983,16.04
1984,11.70
1985,18.96
1986,17.84
1987,42.86
1988,19.04
1989,20.68
1990,14.52
1991,12.48
1992,4.50
1993,36.18
1994,13.48
1995,5.14
1996,35.08
1997,7.34
1998,50.64
1999,35.26
2000,12.96
2001,18.82
2002,9.90
2003,5.14
2004,10.04
2005,14.94
2006,42.24
2007,13.96
2008,26.38
2009,18.84
2010,44.82
2011,8.44
2012,52.26
2013,12.26
2014,44.40
2015,25.28
2016,61.98
2017,34.50
2018,26.48
2019,38.50
2020,27.16
2021,41.74
2022,8.72
2023,36.22
2024,51.82
2025,12.04
