West CEI (All Steps Combined) Annual (January-December) 1910-2025
Date,Percentage Area
1910,10.76
1911,34.90
1912,26.64
1913,18.90
1914,16.04
1915,13.24
1916,40.58
1917,19.90
1918,5.50
1919,20.64
1920,12.96
1921,3.50
1922,35.56
1923,22.86
1924,37.42
1925,5.64
1926,29.86
1927,13.32
1928,3.28
1929,24.62
1930,8.98
1931,5.58
1932,15.28
1933,18.70
1934,30.30
1935,2.66
1936,11.36
1937,6.38
1938,26.60
1939,16.90
1940,17.38
1941,43.62
1942,9.72
1943,8.38
1944,20.92
1945,10.88
1946,8.86
1947,9.14
1948,27.56
1949,17.72
1950,18.40
1951,7.60
1952,20.04
1953,14.96
1954,20.62
1955,34.60
1956,10.32
1957,16.78
1958,15.14
1959,41.66
1960,8.00
1961,7.46
1962,29.08
1963,5.06
1964,8.00
1965,16.62
1966,20.64
1967,0.64
1968,0.08
1969,16.56
1970,11.20
1971,18.12
1972,4.36
1973,8.28
1974,11.44
1975,16.24
1976,19.52
1977,15.48
1978,13.78
1979,6.66
1980,10.16
1981,16.56
1982,48.86
1983,56.82
1984,12.02
1985,4.42
1986,13.90
1987,2.80
1988,0.82
1989,1.54
1990,16.56
1991,0.00
1992,19.98
1993,8.14
1994,0.10
1995,32.74
1996,63.44
1997,29.50
1998,47.22
1999,0.06
2000,4.56
2001,7.48
2002,16.88
2003,27.38
2004,11.16
2005,30.14
2006,16.36
2007,29.82
2008,16.76
2009,0.56
2010,17.58
2011,5.72
2012,37.80
2013,34.86
2014,62.66
2015,64.38
2016,33.02
2017,50.94
2018,25.20
2019,15.54
2020,42.20
2021,71.74
2022,42.66
2023,17.44
2024,33.20
2025,50.10
