Year,RONI
1950,-1.5
1951,-0.5
1952,0.6
1953,0.5
1954,1
1955,-0.4
1956,-0.7
1957,0
1958,2
1959,0.8
1960,0
1961,0.1
1962,-0.1
1963,-0.4
1964,1.1
1965,-0.2
1966,1.7
1967,-0.2
1968,-0.2
1969,1.2
1970,0.5
1971,-1
1972,-0.3
1973,2
1974,-1.5
1975,-0.1
1976,-1
1977,1
1978,0.9
1979,0.2
1980,0.6
1981,0
1982,0.1
1983,2.5
1984,-0.5
1985,-0.8
1986,-0.3
1987,1.6
1988,0.7
1989,-1.7
1990,0.2
1991,0.6
1992,2.3
1993,0.5
1994,0.3
1995,1.3
1996,-0.9
1997,-0.2
1998,2.2
1999,-1.5
2000,-1.7
2001,-0.6
2002,-0.1
2003,0.9
2004,0.3
2005,0.6
2006,-0.9
2007,0.6
2008,-1.6
2009,-0.9
2010,1.5
2011,-1.4
2012,-0.8
2013,-0.6
2014,-0.5
2015,0.5
2016,2.2
2017,-0.7
2018,-1.1
2019,0.6
2020,0.1
2021,-1.2
2022,-1.2
2023,-0.8
2024,1.2
2025,-1.1
