NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2000,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2001,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2002,"21,830"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2003,"32,552"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2004,"32,148"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2005,"31,710"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2006,"38,019"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2007,"51,121"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2008,"28,926"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT KNOB CREEK,2009,"21,903"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2000,"52,625"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2001,"52,794"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2002,"49,207"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2003,"45,961"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2004,"42,996"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2005,"41,182"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2006,"41,162"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2007,"41,090"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2008,"43,334"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT MAIN ENTRANCE,2009,"47,249"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2000,"14,860"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2001,"13,140"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2002,"23,466"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2003,"15,053"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2004,"15,634"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2005,"13,742"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2006,"17,021"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2007,"17,320"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2008,"13,055"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,TRAFFIC COUNT AT PICNIC PARKING LOT,2009,"14,369"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2004,"249,929"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2005,"234,061"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2006,"236,545"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2007,"247,846"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2008,"235,782"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2009,"251,013"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2000,"204,691"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2001,"207,564"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2002,"195,291"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2003,"88,865"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2004,"76,025"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2005,"71,225"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2006,"76,578"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2007,"81,513"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2008,"69,572"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2009,"82,500"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2000,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2001,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2002,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2003,0
