,Park Name,Site_Full_Name,Park_Code
0,Abraham Lincoln Birthplace NHP,Abraham Lincoln Birthplace National Historical Park,ABLI
7,Acadia NP,Acadia National Park,ACAD
14,Adams NHP,Adams National Historical Park,ADAM
8642,African Burial Ground NM,African Burial Ground National Monument,AFBG
21,Agate Fossil Beds NM,Agate Fossil Beds National Monument,AGFO
8678,Alagnak WR,Alagnak Wild River,ALAG
28,Alibates Flint Quarries NM,Alibates Flint Quarries National Monument,ALFL
35,Allegheny Portage Railroad NHS,Allegheny Portage Railroad National Historic Site,ALPO
8723,Amache NHS,Amache National Historic Site,AMCH
42,Amistad NRA,Amistad National Recreation Area,AMIS
49,Andersonville NHS,Andersonville National Historic Site,ANDE
56,Andrew Johnson NHS,Andrew Johnson National Historic Site,ANJO
2162,Aniakchak NM & PRES,Aniakchak National Monument & Preserve,ANIA
63,Antietam NB,Antietam National Battlefield,ANTI
70,Apostle Islands NL,Apostle Islands National Lakeshore,APIS
8845,Appalachian NST,Appalachian National Scenic Trail,APPA
77,Appomattox Court House NHP,Appomattox Court House National Historical Park,APCO
84,Arches NP,Arches National Park,ARCH
91,Arkansas Post NMEM,Arkansas Post National Memorial,ARPO
98,Arlington House The R.E. Lee MEM,"Arlington House, The Robert E. Lee Memorial",ARHO
105,Assateague Island NS,Assateague Island National Seashore,ASIS
112,Aztec Ruins NM,Aztec Ruins National Monument,AZRU
119,Badlands NP,Badlands National Park,BADL
126,Bandelier NM,Bandelier National Monument,BAND
9006,Belmont-Paul Women's Equality NM,Belmont-Paul Women's Equality National Monument,BEPA
133,Bent's Old Fort NHS,Bent's Old Fort National Historic Site,BEOL
2397,Bering Land Bridge NPRES,Bering Land Bridge National Preserve,BELA
140,Big Bend NP,Big Bend National Park,BIBE
2425,Big Cypress NPRES,Big Cypress National Preserve,BICY
147,Big Hole NB,Big Hole National Battlefield,BIHO
2462,Big South Fork NRRA,Big South Fork National River & Recreation Area,BISO
154,Big Thicket NPRES,Big Thicket National Preserve,BITH
159,Bighorn Canyon NRA,Bighorn Canyon National Recreation Area,BICA
166,Biscayne NP,Biscayne National Park,BISC
