,Traffic Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
0,0,4,5,2,2,1,2
1,0,4,5,2,0,0,2
2,0,4,5,2,1,4,1
3,0,4,5,2,2,1,2
4,0,4,5,2,0,3,0
5,0,4,5,2,1,2,1
6,0,4,5,2,1,2,2
7,0,4,5,2,1,4,2
8,1,4,5,2,2,1,2
9,0,4,5,2,0,4,1
10,0,4,5,2,2,1,1
11,0,4,5,2,0,4,2
12,1,4,5,2,1,4,2
13,1,4,5,2,0,4,1
14,-1,4,5,2,1,2,1
15,0,4,5,2,1,4,1
16,-1,4,5,2,0,2,2
17,-1,4,5,2,1,0,1
18,0,4,5,2,1,4,0
19,1,4,5,2,1,4,2
20,1,4,5,2,1,4,1
21,-1,4,5,2,0,4,1
22,1,4,5,2,0,3,1
23,0,4,5,2,1,4,0
24,0,4,5,2,1,0,1
25,0,4,5,2,0,4,0
26,0,4,5,2,2,1,1
27,0,4,5,2,1,0,1
28,0,4,5,2,1,0,2
29,0,4,5,2,1,4,1
30,0,4,5,2,0,0,0
31,-1,4,5,2,1,0,2
32,0,1,13,5,0,4,1
33,0,1,13,5,0,3,2
34,0,1,13,5,0,4,2
35,0,1,13,5,2,1,2
36,1,1,13,5,0,0,2
37,0,1,13,5,1,4,1
38,0,1,13,5,2,1,2
39,0,1,13,5,0,3,0
40,-1,1,13,5,1,2,1
41,0,1,13,5,1,2,2
42,0,1,13,5,1,4,1
43,0,1,13,5,2,1,2
44,-1,1,13,5,0,4,1
45,0,1,13,5,2,1,1
46,0,1,13,5,0,4,1
47,0,1,13,5,1,4,0
48,0,1,13,5,0,4,2
49,0,1,13,5,1,2,1
50,0,1,13,5,1,4,2
51,0,1,13,5,0,2,1
52,0,1,13,5,1,0,0
53,0,1,13,5,1,4,0
54,0,1,13,5,1,4,2
55,1,1,13,5,1,4,2
56,1,1,13,5,0,4,2
57,1,1,13,5,0,3,1
58,0,1,13,5,1,4,1
59,0,1,13,5,1,0,1
60,0,1,13,5,0,4,1
61,-1,1,13,5,2,1,0
62,1,1,13,5,1,0,0
63,0,1,13,5,1,0,1
64,0,1,13,5,1,4,0
65,0,1,13,5,0,0,0
66,0,1,13,5,1,0,2
67,-1,1,4,1,2,1,2
68,0,1,4,1,0,0,2
69,0,1,4,1,1,4,1
70,0,1,4,1,2,1,2
71,0,1,4,1,0,3,0
72,0,1,4,1,1,2,1
73,1,1,4,1,1,2,2
74,0,1,4,1,1,4,1
75,0,1,4,1,2,1,2
76,0,1,4,1,0,4,1
77,0,1,4,1,2,1,1
78,0,1,4,1,0,4,1
79,0,1,4,1,1,4,0
80,0,1,4,1,0,4,2
81,0,1,4,1,1,2,1
82,0,1,4,1,1,4,2
83,0,1,4,1,0,2,1
84,0,1,4,1,1,0,0
85,1,1,4,1,1,4,0
86,0,1,4,1,1,4,2
87,1,1,4,1,1,4,2
88,0,1,4,1,0,4,2
89,1,1,4,1,0,3,1
90,0,1,4,1,1,4,1
91,0,1,4,1,1,0,1
92,0,1,4,1,0,4,1
93,-1,1,4,1,2,1,0
94,1,1,4,1,1,0,0
95,0,1,4,1,1,0,1
96,1,1,4,1,1,4,0
97,0,1,4,1,0,0,0
98,-1,1,4,1,1,0,2
99,1,7,4,2,1,0,0
100,1,5,17,5,0,3,1
101,0,5,17,5,0,4,1
102,0,5,17,5,2,1,2
103,0,5,17,5,0,0,2
104,-1,5,17,5,1,4,2
105,-1,5,17,5,2,1,2
106,0,5,17,5,0,3,1
107,0,5,17,5,1,2,1
108,0,5,17,5,1,2,2
109,-1,5,17,5,1,4,2
110,-1,5,17,5,2,1,2
111,-1,5,17,5,0,4,2
112,1,5,17,5,2,1,2
113,0,5,17,5,0,4,2
114,1,5,17,5,1,4,1
115,0,5,17,5,0,4,1
116,1,5,17,5,1,2,2
117,1,5,17,5,1,4,2
118,-1,5,17,5,0,2,2
119,-1,5,17,5,1,0,1
120,0,5,17,5,1,4,0
121,-1,5,17,5,1,4,2
122,0,5,17,5,1,4,2
123,1,5,17,5,0,4,1
124,0,5,17,5,0,3,0
125,0,5,17,5,1,4,1
126,0,5,17,5,1,0,2
127,0,5,17,5,0,4,1
128,1,5,17,5,2,1,1
129,-1,5,17,5,1,0,2
130,0,5,17,5,1,0,1
131,0,5,17,5,1,4,0
132,0,5,17,5,0,0,0
133,-1,5,17,5,1,0,1
134,0,6,4,2,2,1,2
135,0,6,4,2,0,0,2
136,1,6,4,2,1,4,2
137,0,6,4,2,2,1,2
138,1,6,4,2,0,3,0
139,-1,6,4,2,1,2,1
140,0,6,4,2,1,2,2
141,0,6,4,2,1,4,2
142,1,6,4,2,2,1,2
143,-1,6,4,2,0,4,1
144,1,6,4,2,2,1,2
145,-1,6,4,2,0,4,2
146,0,6,4,2,1,4,1
147,1,6,4,2,0,4,0
148,0,6,4,2,1,2,2
149,-1,6,4,2,1,4,2
150,-1,6,4,2,0,2,2
151,-1,6,4,2,1,0,1
152,1,6,4,2,1,4,1
153,-1,6,4,2,1,4,1
154,1,6,4,2,1,4,2
155,0,6,4,2,0,4,1
156,0,6,4,2,0,3,0
157,0,6,4,2,1,4,0
158,0,6,4,2,1,0,0
159,-1,6,4,2,0,4,0
160,-1,6,4,2,2,1,0
161,-1,6,4,2,1,0,1
162,1,6,4,2,1,0,2
163,1,6,4,2,1,4,1
164,0,6,4,2,0,0,0
165,-1,6,4,2,1,0,2
166,-1,4,4,3,0,3,2
167,1,4,4,3,0,4,1
168,1,4,4,3,2,1,2
169,0,4,4,3,0,0,2
170,0,4,4,3,1,4,1
171,1,4,4,3,2,1,2
172,-1,4,4,3,0,3,0
173,-1,4,4,3,1,2,1
174,1,4,4,3,1,2,2
175,-1,4,4,3,1,4,2
176,0,4,4,3,2,1,2
177,0,4,4,3,0,4,1
178,0,4,4,3,2,1,1
179,0,4,4,3,0,4,2
180,0,4,4,3,1,4,2
181,-1,4,4,3,0,4,1
182,1,4,4,3,1,2,1
183,0,4,4,3,1,4,1
184,0,4,4,3,0,2,2
185,-1,4,4,3,1,0,1
186,0,4,4,3,1,4,0
187,-1,4,4,3,1,4,2
188,0,4,4,3,1,4,1
189,0,4,4,3,0,4,1
190,0,4,4,3,0,3,1
191,1,4,4,3,1,4,0
192,0,4,4,3,1,0,1
193,0,4,4,3,0,4,0
194,0,4,4,3,2,1,1
195,1,4,4,3,1,0,1
196,-1,4,4,3,1,0,2
197,1,4,4,3,1,4,1
198,-1,4,4,3,0,0,0
199,-1,4,4,3,1,0,2
200,-1,6,5,1,0,4,2
201,1,6,5,1,2,1,2
202,0,6,5,1,0,0,2
203,0,6,5,1,1,4,2
204,0,6,5,1,2,1,2
205,0,6,5,1,0,3,0
206,0,6,5,1,1,2,1
207,0,6,5,1,1,2,2
208,0,6,5,1,1,4,2
209,0,6,5,1,2,1,2
210,0,6,5,1,0,4,1
211,0,6,5,1,2,1,2
212,-1,6,5,1,0,4,2
213,0,6,5,1,1,4,1
214,0,6,5,1,0,4,0
215,1,6,5,1,1,2,2
216,0,6,5,1,1,4,2
217,1,6,5,1,0,2,2
218,1,6,5,1,1,0,1
219,1,6,5,1,1,4,1
220,0,6,5,1,1,4,1
221,-1,6,5,1,1,4,2
222,1,6,5,1,0,4,1
223,-1,6,5,1,0,3,0
224,-1,6,5,1,1,4,0
225,0,6,5,1,1,0,0
226,0,6,5,1,0,4,0
227,-1,6,5,1,2,1,0
228,1,6,5,1,1,0,1
229,0,6,5,1,1,0,2
230,0,6,5,1,1,4,1
231,0,6,5,1,0,0,0
232,-1,6,5,1,1,0,2
233,1,8,7,5,0,0,2
234,0,8,7,5,1,4,1
235,0,8,7,5,2,1,2
236,1,8,7,5,0,3,0
237,0,8,7,5,1,2,1
238,0,8,7,5,1,2,2
239,1,8,7,5,1,4,2
240,-1,8,7,5,2,1,2
241,0,8,7,5,0,4,2
242,0,8,7,5,2,1,2
243,-1,8,7,5,0,4,2
244,1,8,7,5,1,4,0
