,Visitor Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
0,-1,4,8,2,0,4,2
1,0,4,8,2,2,1,2
2,1,4,8,2,2,1,2
3,-1,4,8,2,0,3,2
4,0,4,8,2,1,4,2
5,0,4,8,2,1,4,1
6,0,4,8,2,2,1,2
7,0,4,8,2,0,2,2
8,0,4,8,2,0,4,1
9,0,4,8,2,1,2,1
10,0,4,8,2,2,1,1
11,0,4,8,2,0,4,1
12,0,4,8,2,0,3,2
13,0,4,8,2,0,4,1
14,0,4,8,2,2,1,2
15,0,4,8,2,0,0,2
16,0,4,8,2,1,4,1
17,0,4,8,2,2,1,2
18,0,4,8,2,0,3,0
19,0,4,8,2,1,2,1
20,0,4,8,2,1,2,2
21,0,4,8,2,1,4,2
22,0,4,8,2,2,1,2
23,-1,4,8,2,0,4,1
24,0,4,8,2,2,1,1
25,0,4,8,2,0,4,2
26,0,4,8,2,1,4,2
27,0,4,8,2,0,4,1
28,0,4,8,2,1,2,1
29,1,4,8,2,1,4,1
30,-1,4,8,2,0,2,2
31,0,4,8,2,1,0,1
32,0,4,8,2,1,4,0
33,0,4,8,2,1,4,2
34,1,4,8,2,1,4,1
35,-1,4,8,2,0,4,1
36,1,4,8,2,0,3,1
37,0,4,8,2,1,4,0
38,0,4,8,2,1,0,1
39,0,4,8,2,0,4,0
40,0,4,8,2,2,1,1
41,1,4,8,2,1,0,1
42,0,4,8,2,1,0,2
43,0,4,8,2,1,4,1
44,0,4,8,2,0,0,0
45,-1,4,8,2,1,0,2
46,0,1,16,5,0,4,2
47,0,1,16,5,2,1,2
48,1,1,16,5,2,1,2
49,1,1,16,5,0,3,2
50,0,1,16,5,1,4,2
51,0,1,16,5,1,4,2
52,0,1,16,5,2,1,2
53,0,1,16,5,0,2,2
54,0,1,16,5,0,4,2
55,1,1,16,5,1,2,2
56,-1,1,16,5,2,1,1
57,0,1,16,5,0,4,1
58,0,1,16,5,0,3,2
59,1,1,16,5,0,4,2
60,0,1,16,5,2,1,2
61,0,1,16,5,0,0,2
62,0,1,16,5,1,4,1
63,0,1,16,5,2,1,2
64,0,1,16,5,0,3,0
65,0,1,16,5,1,2,1
66,0,1,16,5,1,2,2
67,0,1,16,5,1,4,1
68,0,1,16,5,2,1,2
69,0,1,16,5,0,4,1
70,0,1,16,5,2,1,1
71,0,1,16,5,0,4,1
72,0,1,16,5,1,4,0
73,0,1,16,5,0,4,2
74,0,1,16,5,1,2,1
75,0,1,16,5,1,4,2
76,1,1,16,5,0,2,1
77,0,1,16,5,1,0,0
78,0,1,16,5,1,4,0
79,0,1,16,5,1,4,2
80,1,1,16,5,1,4,2
81,0,1,16,5,0,4,2
82,1,1,16,5,0,3,1
83,0,1,16,5,1,4,1
84,0,1,16,5,1,0,1
85,0,1,16,5,0,4,1
86,-1,1,16,5,2,1,0
87,1,1,16,5,1,0,0
88,0,1,16,5,1,0,1
89,0,1,16,5,1,4,0
90,0,1,16,5,0,0,0
91,0,1,16,5,1,0,2
92,-1,1,8,3,0,4,2
93,0,1,8,3,2,1,2
94,0,1,8,3,2,1,2
95,0,1,8,3,0,3,2
96,-1,1,8,3,1,4,2
97,0,1,8,3,1,4,2
98,0,1,8,3,2,1,2
99,0,1,8,3,0,2,2
100,-1,1,8,3,0,4,2
101,0,1,8,3,1,2,2
102,-1,1,8,3,2,1,1
103,1,1,8,3,0,4,1
104,0,1,8,3,0,3,2
105,1,1,8,3,0,4,2
106,0,1,8,3,2,1,2
107,1,1,8,3,0,0,2
108,-1,1,8,3,1,4,1
109,1,1,8,3,2,1,2
110,1,1,8,3,0,3,0
111,1,1,8,3,1,2,1
112,0,1,8,3,1,2,2
113,1,1,8,3,1,4,1
114,0,1,8,3,2,1,2
115,1,1,8,3,0,4,1
116,1,1,8,3,2,1,1
117,0,1,8,3,0,4,1
118,0,1,8,3,1,4,0
119,0,1,8,3,0,4,2
120,0,1,8,3,1,2,1
121,0,1,8,3,1,4,2
122,-1,1,8,3,0,2,1
123,10,1,8,3,1,0,0
124,1,1,8,3,1,4,0
125,-1,1,8,3,1,4,2
126,-1,1,8,3,1,4,2
127,0,1,8,3,0,4,2
128,0,1,8,3,0,3,1
129,1,1,8,3,1,4,1
130,-1,1,8,3,1,0,1
131,1,1,8,3,0,4,1
132,-1,1,8,3,2,1,0
133,10,1,8,3,1,0,0
134,-1,1,8,3,1,0,1
135,1,1,8,3,1,4,0
136,1,1,8,3,0,0,0
137,0,1,8,3,1,0,2
138,0,1,13,4,1,0,0
139,-1,1,13,4,1,4,0
140,1,1,13,4,1,4,2
141,-1,1,13,4,1,4,2
142,0,1,13,4,0,4,2
143,-1,1,13,4,0,3,1
144,0,1,13,4,1,4,1
145,0,1,13,4,1,0,1
146,0,1,13,4,0,4,1
147,-1,1,13,4,2,1,0
148,1,1,13,4,1,0,0
149,10,1,13,4,1,0,1
150,1,1,13,4,1,4,0
151,-1,1,13,4,0,0,0
152,0,1,13,4,1,0,2
153,0,2,13,1,0,4,2
154,1,2,13,1,2,1,1
155,0,2,13,1,2,1,1
156,1,2,13,1,0,3,2
157,0,2,13,1,1,4,2
158,0,2,13,1,1,4,2
159,0,2,13,1,2,1,2
160,1,2,13,1,0,2,1
161,0,2,13,1,0,4,1
162,0,2,13,1,1,2,2
163,1,2,13,1,2,1,2
164,0,2,13,1,0,4,2
165,1,2,13,1,0,3,2
166,0,2,13,1,0,4,1
167,0,2,13,1,2,1,2
168,0,2,13,1,0,0,2
169,-1,2,13,1,1,4,1
170,1,2,13,1,2,1,2
171,-1,2,13,1,0,3,1
172,0,2,13,1,1,2,1
173,0,2,13,1,1,2,2
174,0,2,13,1,1,4,1
175,0,2,13,1,2,1,2
176,0,2,13,1,0,4,2
177,0,2,13,1,2,1,2
178,0,2,13,1,0,4,2
179,0,2,13,1,1,4,1
180,0,2,13,1,0,4,1
181,0,2,13,1,1,2,2
