,Code_Year,Traffic Count,Traffic Count Scaled,trf_annual_chg,trf_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Traffic Trend Cat,Traffic Trend Bins,Traffic Trend Chg,Traffic Trend UpDn,Traffic Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
0,ABLI-1994,78659.0,0.0022515325271297948,-5589.0,-0.06633985376507454,National Historical Park,344.5,Ohio Valley,0.1642,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Nominal,Medium,5,4,2,2,1,2,2
1,ABLI-1995,75253.0,0.0021540392995601067,-3406.0,-0.043300830165651734,National Historical Park,344.5,Ohio Valley,0.0922,1.3,Minimal Change,0,0,0,0,El Niño,Moderate,Moderate El Niño,Nominal,Medium,5,4,2,0,0,2,2
2,ABLI-1996,69894.0,0.002000643466751546,-5359.0,-0.07121310778307842,National Historical Park,344.5,Ohio Valley,0.34119999999999995,-0.9,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Medium,5,4,2,1,4,1,2
3,ABLI-1997,73586.0,0.002106323148544643,3692.0,0.052822846023979166,National Historical Park,344.5,Ohio Valley,0.11720000000000001,-0.2,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Medium,5,4,2,2,1,2,2
4,ABLI-1998,70560.0,0.002019707027985079,-3026.0,-0.04112195254532112,National Historical Park,344.5,Ohio Valley,0.43439999999999995,2.2,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Extreme,Medium,5,4,2,0,3,0,2
5,ABLI-1999,70798.0,0.0020265195318493142,238.0,0.003373015873015873,National Historical Park,344.5,Ohio Valley,0.2662,-1.5,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Increased,Medium,5,4,2,1,2,1,2
6,ABLI-2000,67485.0,0.001931688333100525,-3313.0,-0.04679510720641826,National Historical Park,344.5,Ohio Valley,0.1582,-1.7,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Nominal,Medium,5,4,2,1,2,2,2
7,ABLI-2001,65934.0,0.0018872925621197306,-1551.0,-0.022982885085574573,National Historical Park,344.5,Ohio Valley,0.059000000000000004,-0.6,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Nominal,Medium,5,4,2,1,4,2,2
8,ABLI-2002,94503.0,0.0027050506415203217,28569.0,0.4332969332969333,National Historical Park,344.5,Ohio Valley,0.1402,-0.1,Increase,1,1,1,0,Neutral,Neutral,Neutral,Nominal,Medium,5,4,1,2,1,2,2
9,ABLI-2003,93566.0,0.002678229985550622,-937.0,-0.009915029152513678,National Historical Park,344.5,Ohio Valley,0.2112,0.9,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Medium,5,4,2,0,4,1,2
