,Code_Year,Visitors,Visitors Scaled,vis_annual_chg,vis_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Visitor Trend Cat,Visitor Trend Bins,Visitor Trend Chg,Visitor Trend UpDn,Visitor Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
0,ABLI-1980,239074.0,0.010983234573010297,-32157.0,-0.1185594566992711,National Historical Park,344.5,Ohio Valley,0.1162,0.6,Decrease,-1,1,0,0,El Niño,Weak,Weak El Niño,Nominal,Medium,8,4,0,0,4,2,2
1,ABLI-1981,252245.0,0.011588319954779618,13171.0,0.05509172892075257,National Historical Park,344.5,Ohio Valley,0.11199999999999999,0.0,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Medium,8,4,2,2,1,2,2
2,ABLI-1982,318707.0,0.014641632887977752,66462.0,0.26348193224840927,National Historical Park,344.5,Ohio Valley,0.12300000000000001,0.1,Increase,1,1,1,0,Neutral,Neutral,Neutral,Nominal,Medium,8,4,1,2,1,2,2
3,ABLI-1983,256126.0,0.011766615935847626,-62581.0,-0.19635903823888398,National Historical Park,344.5,Ohio Valley,0.0882,2.5,Decrease,-1,1,0,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Medium,8,4,0,0,3,2,2
4,ABLI-1984,258023.0,0.011853765504537659,1897.0,0.007406510857937109,National Historical Park,344.5,Ohio Valley,0.078,-0.5,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Medium,8,4,2,1,4,2,2
5,ABLI-1985,264905.0,0.012169929622473765,6882.0,0.026672040864574087,National Historical Park,344.5,Ohio Valley,0.2024,-0.8,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Medium,8,4,2,1,4,1,2
6,ABLI-1986,280620.0,0.012891888226566459,15715.0,0.05932315358336007,National Historical Park,344.5,Ohio Valley,0.12480000000000001,-0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Medium,8,4,2,2,1,2,2
7,ABLI-1987,292825.0,0.013452594861179971,12205.0,0.043492979830375596,National Historical Park,344.5,Ohio Valley,0.1366,1.6,Minimal Change,0,0,1,0,El Niño,Strong,Strong El Niño,Nominal,Medium,8,4,2,0,2,2,2
8,ABLI-1988,288324.0,0.013245815626243846,-4501.0,-0.01537095534875779,National Historical Park,344.5,Ohio Valley,0.25,0.7,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,2,0,4,1,2
9,ABLI-1989,309823.0,0.01423349542448685,21499.0,0.07456541945866456,National Historical Park,344.5,Ohio Valley,0.2836,-1.7,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Increased,Medium,8,4,2,1,2,1,2
10,ABLI-1990,307669.0,0.014134539087661165,-2154.0,-0.006952356668162144,National Historical Park,344.5,Ohio Valley,0.265,0.2,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Medium,8,4,2,2,1,1,2
11,ABLI-1991,316945.0,0.014560685318113843,9276.0,0.030149283808248474,National Historical Park,344.5,Ohio Valley,0.2122,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,2,0,4,1,2
12,ABLI-1992,302739.0,0.013908051278677584,-14206.0,-0.044821656754326464,National Historical Park,344.5,Ohio Valley,0.09519999999999999,2.3,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Medium,8,4,2,0,3,2,2
13,ABLI-1993,293710.0,0.013493252409040106,-9029.0,-0.029824370167041578,National Historical Park,344.5,Ohio Valley,0.32299999999999995,0.5,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Medium,8,4,2,0,4,1,2
14,ABLI-1994,279542.0,0.012842364117421571,-14168.0,-0.048238057948316364,National Historical Park,344.5,Ohio Valley,0.1642,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Nominal,Medium,8,4,2,2,1,2,2
15,ABLI-1995,268509.0,0.012335500020765212,-11033.0,-0.03946813001266357,National Historical Park,344.5,Ohio Valley,0.0922,1.3,Minimal Change,0,0,0,0,El Niño,Moderate,Moderate El Niño,Nominal,Medium,8,4,2,0,0,2,2
