,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
0,0,0.02793311167461151,0.010144230641819142,0.1162,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0.029471995090902314,0.010144230641819142,0.11199999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1,0.03723733330466889,0.010144230641819142,0.12300000000000001,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.029925446350383342,0.010144230641819142,0.0882,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,0.03014708949370607,0.010144230641819142,0.078,-0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1,0.03095117389663017,0.010144230641819142,0.2024,-0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,1,0.03278729513928525,0.010144230641819142,0.12480000000000001,-0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1,0.034213312305470756,0.010144230641819142,0.1366,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0,0.03368742100969026,0.010144230641819142,0.25,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,1,0.03619933768775844,0.010144230641819142,0.2836,-1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,0.0359476669810019,0.010144230641819142,0.265,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,0.03703146339505653,0.010144230641819142,0.2122,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0,0.0353716518536529,0.010144230641819142,0.09519999999999999,2.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0,0.03431671461534983,0.010144230641819142,0.32299999999999995,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0,0.03266134294713875,0.010144230641819142,0.1642,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0,0.03137226081731289,0.010144230641819142,0.0922,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
