,cei_pct_area,RONI,Gross Area Acres,Desig_NatlPark,Region_Multiple,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
5691,0.41259999999999997,1.2,720.6,0,False,False,False,False,False,False,False,True,False,False
7756,0.43560000000000004,0.6,62.04,0,False,False,False,False,False,False,True,False,False,False
773,0.00165,0.7,41311.27,0,True,False,False,False,False,False,False,False,False,False
3984,0.193,1.3,1347.21,0,False,False,True,False,False,False,False,False,False,False
7150,0.445,2.2,23777.22,1,False,False,True,False,False,False,False,False,False,False
5633,0.3148,-0.8,232.52,0,False,False,False,False,False,False,True,False,False,False
8267,0.1376,0.0,160.09,0,False,False,False,False,False,False,False,True,False,False
15159,0.1298,0.9,3004.73,0,False,False,True,False,False,False,False,False,False,False
1313,0.0946,0.1,172971.11,1,False,False,False,False,False,False,True,False,False,False
10839,0.09519999999999999,2.3,72041.73,1,False,False,False,False,True,False,False,False,False,False
12841,0.24359999999999998,0.1,130434.27,0,False,False,False,False,False,True,False,False,False,False
1501,0.1998,-1.7,239.01,0,False,False,False,False,False,False,True,False,False,False
1399,0.132,-1.2,30779.83,1,False,False,False,False,False,False,False,True,False,False
4934,0.5197999999999999,0.1,46263.07,0,False,False,False,False,False,False,True,False,False,False
16209,0.15380000000000002,0.3,46263.07,0,False,False,False,False,False,False,True,False,False,False
11861,0.637,-0.9,34.0,0,False,True,False,False,False,False,False,False,False,False
2676,0.2242,-1.2,54.54,0,False,False,False,False,False,True,False,False,False,False
4953,0.1476,-1.1,138.39,0,False,False,False,False,False,False,True,False,False,False
10316,0.3486,-0.6,106589.02,1,False,False,False,False,False,False,False,False,False,True
8041,0.2024,-0.8,1775.78,0,False,False,False,False,True,False,False,False,False,False
3675,0.2758,0.6,110.53,0,False,False,False,False,True,False,False,False,False,False
12294,0.1164,-1.5,504780.94,1,False,False,False,True,False,False,False,False,False,False
11812,0.2488,-0.5,360.0,0,False,False,False,False,False,False,False,True,False,False
15153,0.11939999999999999,-0.2,3004.73,0,False,False,True,False,False,False,False,False,False,False
124,0.47479999999999994,-0.8,23.82,0,False,True,False,False,False,False,False,False,False,False
1933,0.5256000000000001,-1.1,83840.0,0,False,False,False,False,False,False,False,True,False,False
7492,0.1728,-0.9,86367.1,1,False,False,False,False,False,True,False,False,False,False
5288,0.1298,-1.7,902.8,0,False,True,False,False,False,False,False,False,False,False
12251,0.14,0.3,61939.15,1,False,False,False,True,False,False,False,False,False,False
8320,0.053,1.6,44.87,0,False,True,False,False,False,False,False,False,False,False
1747,0.135,0.3,94301.32,0,False,False,False,False,False,True,False,False,False,False
3739,0.1476,-1.1,30.0,0,False,False,False,False,False,False,True,False,False,False
7743,0.20559999999999998,-0.9,62.04,0,False,False,False,False,False,False,True,False,False,False
3383,0.22899999999999998,0.1,183224.05,1,False,False,False,True,False,False,False,False,False,False
10154,0.0017420000000000003,-1.7,1495855.53,0,True,False,False,False,False,False,False,False,False,False
15990,0.14279999999999998,-0.5,70446.89,1,False,False,True,False,False,False,False,False,False,False
15745,0.2144,2.3,3137.71,0,False,False,False,False,False,False,False,True,False,False
8467,0.303,-0.5,7.82,0,False,False,False,False,True,False,False,False,False,False
15455,0.00308,-0.8,9319.16,0,True,False,False,False,False,False,False,False,False,False
8766,0.4546,0.6,310044.36,1,False,False,True,False,False,False,False,False,False,False
14607,0.345,-0.7,25276.45,0,False,False,False,False,False,False,False,False,True,False
7831,0.069,0.6,13.67,0,False,False,False,False,True,False,False,False,False,False
10715,0.1158,-1.7,138.72,0,False,True,False,False,False,False,False,False,False,False
3502,0.0015060000000000002,-0.6,24546.83,0,True,False,False,False,False,False,False,False,False,False
8386,0.2758,0.6,16034.81,1,False,False,False,False,True,False,False,False,False,False
5364,0.15539999999999998,0.6,29.0,0,False,False,False,False,False,False,False,False,False,True
6045,0.0602,0.7,674.56,0,False,True,False,False,False,False,False,False,False,False
13527,0.32380000000000003,-1.1,0.68,0,False,False,False,False,False,True,False,False,False,False
10923,0.003814,-1.2,113.61,0,True,False,False,False,False,False,False,False,False,False
16148,0.46740000000000004,-1.1,328.25,0,False,False,False,False,False,False,True,False,False,False
11855,0.1158,-1.7,34.0,0,False,True,False,False,False,False,False,False,False,False
6949,0.4104,-1.1,1201647.03,1,False,False,False,False,False,False,False,True,False,False
5509,0.001044,0.6,75.0,0,True,False,False,False,False,False,False,False,False,False
1233,0.0712,0.3,113121.96,0,False,False,False,False,False,True,False,False,False,False
15207,0.139,-0.3,404062.63,1,False,False,False,False,False,False,False,False,False,True
7003,0.09300000000000001,0.6,310044.36,1,False,False,True,False,False,False,False,False,False,False
10211,0.15560000000000002,-1.7,44977.63,0,False,False,False,False,False,True,False,False,False,False
8311,0.5256000000000001,-1.1,160.09,0,False,False,False,False,False,False,False,True,False,False
7541,0.3148,-0.8,254.9,0,False,False,False,False,False,False,True,False,False,False
9519,0.1164,-1.5,12996.49,0,False,False,False,True,False,False,False,False,False,False
1991,0.2724,0.6,43591.32,0,False,True,False,False,False,False,False,False,False,False
14416,0.3456,-0.6,310.45,0,False,False,False,False,False,False,True,False,False,False
11434,0.2724,0.6,1710.72,0,False,True,False,False,False,False,False,False,False,False
16770,0.0236,1.6,2.18,0,False,False,False,False,False,False,True,False,False,False
5676,0.0766,-0.9,720.6,0,False,False,False,False,False,False,False,True,False,False
10953,0.365,-1.5,643.07,0,False,True,False,False,False,False,False,False,False,False
6953,0.132,-1.2,1201647.03,1,False,False,False,False,False,False,False,True,False,False
5878,0.201,-1.5,8.14,0,False,False,False,False,False,False,True,False,False,False
14186,0.1362,0.3,504780.94,1,False,False,False,True,False,False,False,False,False,False
6456,0.069,0.6,240.0,0,False,False,False,False,True,False,False,False,False,False
16055,0.3132,0.9,21.25,0,False,True,False,False,False,False,False,False,False,False
4514,0.3194,0.2,0.45,0,False,True,False,False,False,False,False,False,False,False
4307,0.265,-0.1,1278.72,0,False,False,False,False,False,False,False,True,False,False
7050,0.1018,0.6,23777.22,1,False,False,True,False,False,False,False,False,False,False
15601,0.1192,-0.8,58.38,0,False,True,False,False,False,False,False,False,False,False
11640,0.001044,0.6,52380.46,0,True,False,False,False,False,False,False,False,False,False
8530,0.17980000000000002,-0.8,1273.51,0,False,False,True,False,False,False,False,False,False,False
