,Park_Code,Visitors,Gross Area Acres,State Count,Desig Code,CEIR_Numeric
0,ABLI,244532.914893617,344.5,1,8,6
1,ACAD,3024556.744680851,49076.65,1,17,1
2,ADAM,105969.93617021276,23.82,1,8,1
3,AFBG,42302.1,0.35,1,14,1
4,AGFO,14567.63829787234,3057.87,1,14,2
5,ALAG,66.5,30664.79,1,36,4
6,ALFL,3956.468085106383,1370.97,1,14,7
7,ALPO,132360.29787234042,1284.27,1,6,1
8,AMCH,644.2,472.59,1,6,9
9,AMIS,1274999.574468085,62945.15,1,21,7
10,ANDE,131695.72340425532,515.61,1,6,8
11,ANIA,294.675,464117.93,1,15,4
12,ANIA,294.675,137176.0,1,15,4
13,ANJO,59804.936170212764,16.68,1,6,6
14,ANTI,312382.93617021275,3287.63,1,4,8
15,APCO,217931.17021276595,1774.6,1,8,8
16,APIS,175137.2340425532,69377.43,1,11,10
17,APPA,310755.9,244402.52,14,28,0
18,ARCH,907518.1489361703,76678.98,1,17,9
19,ARHO,462560.5319148936,17.12,1,34,8
20,ARPO,45014.936170212764,757.51,1,12,7
21,ASIS,2120620.5319148935,41311.27,2,29,0
22,AZRU,56426.97872340425,318.4,1,14,9
23,BADL,1025354.0,242742.9,1,17,2
24,BAND,250085.31914893616,33676.67,1,14,9
25,BELA,1732.7,2697391.01,1,20,4
26,BEOL,34100.0,798.54,1,6,9
27,BEPA,2568.9,0.34,1,14,8
28,BIBE,332035.27659574465,801162.34,1,17,7
29,BICA,290693.3191489362,120296.2,2,21,2
30,BICY,803471.65,146110.69,1,20,8
31,BICY,803471.65,574453.32,1,20,8
32,BIHO,47903.085106382976,969.61,1,4,2
33,BISC,464136.6170212766,172971.11,1,17,8
34,BISO,708964.075,123702.05,2,25,6
35,BITH,119280.89361702128,113121.96,1,20,7
36,BLCA,245935.7659574468,30779.83,1,17,9
37,BLRI,16534144.914893618,102397.89,2,32,8
38,BLUE,34610.7,4309.51,1,26,6
39,BOAF,308436.4,0.59,1,6,1
40,BOHA,9121.4,2230.71,1,21,1
41,BOST,2137525.638297872,43.82,1,8,1
42,BOWA,22091.702127659573,239.01,1,14,8
43,BRCA,1249369.2127659575,35835.08,1,17,9
44,BRVB,10712.55,3.15,1,8,7
45,BUFF,1059729.7021276595,94301.32,1,24,7
46,BUIS,45588.34042553192,19015.47,1,14,5
47,CABR,1065828.1063829786,159.94,1,14,11
48,CACH,646628.8936170213,83840.0,1,14,9
49,CACL,3048976.14893617,1.0,1,14,1
50,CACO,4499016.489361702,43591.32,1,29,1
51,CAGR,111649.31914893616,472.5,1,14,9
52,CAHA,2246089.234042553,30350.65,1,29,8
53,CAKR,6844.234042553191,649096.15,1,14,4
54,CALO,398583.7021276596,28243.36,1,29,8
55,CANA,1260783.6170212766,57661.69,1,29,8
56,CANE,6559.4,464.97,1,14,6
57,CANY,427790.7659574468,337597.83,1,17,9
58,CARE,697338.4468085107,241904.5,1,17,9
59,CARI,13426.9,235.37,1,8,7
60,CARL,58148.78723404255,268.49,1,6,8
61,CASA,677835.0638297872,19.38,1,14,8
62,CATO,448422.57446808513,5890.92,1,31,8
63,CAVE,536002.2127659575,46766.45,1,17,9
64,CAVO,58520.72340425532,792.84,1,14,9
65,CAWO,340.85,0.15,1,6,8
66,CEBR,560649.659574468,6154.6,1,14,9
67,CECH,9308.4,116.56,1,14,11
68,CHAM,152074.40425531915,54.54,1,12,7
69,CHAT,2469283.234042553,12416.5,1,21,8
70,CHCH,965723.2978723404,9523.48,2,13,0
71,CHCU,57737.48936170213,33960.19,1,8,9
72,CHIC,1567872.2340425532,9898.63,1,21,7
73,CHIR,64852.02127659575,12024.73,1,14,9
74,CHIS,310450.1914893617,249561.0,1,17,11
75,CHOH,3790913.14893617,19630.99,3,8,0
76,CHPI,27095.75,28.45,1,6,8
77,CHRI,108640.36170212766,27.15,1,6,5
78,CHSC,47642.85,28.22,1,6,7
79,CHYO,4934.1,59.66,1,14,6
80,CIRO,75393.0,14512.27,1,23,3
81,CLBA,13287.744680851063,8.59,1,6,8
82,COLM,370665.0425531915,20536.39,1,14,9
83,COLO,3334758.1276595746,8675.04,1,8,8
84,CONG,93907.74468085106,26692.6,1,17,8
85,CORO,92573.76595744681,4830.22,1,12,9
86,COWP,169777.2340425532,841.56,1,4,8
87,CRLA,489756.02127659577,183224.05,1,17,3
88,CRMO,223280.93617021278,53437.64,1,15,3
89,CRMO,223280.93617021278,698939.69,1,15,3
90,CUGA,868812.6382978724,24546.83,3,8,0
91,CUIS,48965.744680851065,36346.83,1,29,8
92,CURE,978506.9574468085,43590.56,1,21,9
93,CUVA,2228460.829787234,32607.2,1,17,6
94,DAAV,47594.575,110.53,1,8,6
95,DDEM,182435.05,3.39,1,2,8
96,DENA,433597.5106382979,1334117.8,1,18,4
97,DENA,433597.5106382979,4740911.16,1,18,4
98,DEPO,114512.89361702128,800.19,1,14,11
99,DESO,225065.97872340426,30.0,1,12,8
100,DETO,393485.89361702127,1347.21,1,14,2
101,DEVA,956472.6170212766,3408374.95,2,17,11
102,DEWA,3962587.723404255,68708.88,2,21,1
103,DINO,355371.6808510638,210281.92,2,14,9
104,DRTO,48876.46808510638,64701.22,1,17,8
105,EDAL,12172.446808510638,0.52,1,6,1
106,EDIS,41067.48936170213,21.25,1,8,1
107,EFMO,81032.46808510639,2526.39,1,14,10
108,EISE,83902.9574468085,690.46,1,6,1
109,ELMA,115130.9,114247.25,1,14,9
110,ELMO,57233.44680851064,1278.72,1,14,9
111,ELRO,46626.44680851064,180.5,1,6,1
112,EUON,4641.425531914893,13.19,1,6,11
113,EVER,919556.7234042553,108399.27,1,17,8
114,EVER,919556.7234042553,1400539.3,1,17,8
115,FEHA,174575.3404255319,0.45,1,12,1
116,FIIS,520046.9574468085,19580.65,1,29,1
117,FILA,10239.9,0.46,1,6,6
118,FLFO,76601.68085106384,6278.09,1,14,9
119,FLNI,280417.05,2262.65,1,12,1
120,FOBO,8185.340425531915,1000.0,1,6,9
121,FOBU,19393.40425531915,8198.0,1,14,2
122,FODA,56029.29787234042,523.0,1,6,7
123,FODO,241307.63829787233,1316.97,2,4,6
124,FOFR,262384.170212766,305.34,1,14,8
125,FOLA,62074.44680851064,873.11,1,6,2
126,FOLS,36097.53191489362,718.39,1,6,7
127,FOMA,547354.7659574468,300.11,1,14,8
128,FOMC,584362.2553191489,43.26,1,16,8
129,FONE,176895.87234042553,902.8,1,4,1
130,FOPO,1377619.0,29.0,1,6,11
131,FOPU,359648.3829787234,5623.1,1,14,8
132,FORA,289480.5106382979,515.73,1,6,8
133,FOSC,43062.31914893617,20.08,1,6,7
134,FOSM,98183.17021276595,75.0,2,6,0
135,FOST,69792.76595744681,15.52,1,14,1
136,FOSU,527277.1702127659,232.52,1,8,8
137,FOTH,720418.5957446808,0.3,1,6,8
138,FOUN,13175.31914893617,720.6,1,14,9
139,FOUS,17921.042553191488,440.14,2,6,2
140,FOVA,562571.6808510638,208.39,2,6,3
141,FOWA,348901.06382978725,345.05,1,31,8
142,FRDE,2076893.625,8.14,1,34,8
143,FRDO,40047.382978723406,8.57,1,6,8
144,FRHI,22569.17021276596,674.56,1,6,1
145,FRLA,5736.489361702128,7.21,1,6,1
146,FRSP,637908.8297872341,8585.11,1,13,8
147,FRST,27604.4,1409.22,2,8,1
148,GAAR,6695.0,948608.07,1,18,4
149,GAAR,6695.0,7523897.45,1,18,4
150,GARI,135326.625,11483.44,1,21,6
151,GATE,7898981.510638298,26610.45,2,21,1
152,GEGR,82508.63829787234,0.76,1,12,1
153,GERO,124820.9574468085,26.17,1,8,6
154,GETT,1278201.8510638298,6037.14,1,13,1
155,GEWA,122093.63829787234,654.19,1,14,8
156,GICL,45193.936170212764,533.13,1,14,9
157,GLAC,2117870.787234043,1013126.39,1,17,2
158,GLBA,342711.44680851063,58406.0,1,18,4
159,GLBA,342711.44680851063,3223383.43,1,18,4
160,GLCA,2677893.7021276597,1254116.62,2,21,9
161,GOGA,15472769.021276595,82347.82,1,21,11
162,GOIS,153554.4,22.91,1,14,1
163,GOSP,50255.1914893617,2735.28,1,8,9
164,GRBA,88409.31914893616,77180.0,1,17,11
165,GRCA,4167637.5531914895,1201647.03,1,17,9
