,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
0,ABLI,244532.914893617,National Historical Park,344.5,KY,1,Ohio Valley
1,ACAD,3024556.744680851,National Park,49076.65,ME,1,Northeast
2,ADAM,105969.93617021276,National Historical Park,23.82,MA,1,Northeast
3,AFBG,42302.1,National Monument,0.35,NY,1,Northeast
4,AGFO,14567.63829787234,National Monument,3057.87,NE,1,Northern Rockies and Plains
5,ALAG,66.5,Wild River,30664.79,AK,1,OCONUS
6,ALFL,3956.468085106383,National Monument,1370.97,TX,1,South
7,ALPO,132360.29787234042,National Historic Site,1284.27,PA,1,Northeast
8,AMCH,644.2,National Historic Site,472.59,CO,1,Southwest
9,AMIS,1274999.574468085,National Recreation Area,62945.15,TX,1,South
10,ANDE,131695.72340425532,National Historic Site,515.61,GA,1,Southeast
11,ANIA,294.675,National Monument & Preserve,464117.93,AK,1,OCONUS
12,ANIA,294.675,National Monument & Preserve,137176.0,AK,1,OCONUS
13,ANJO,59804.936170212764,National Historic Site,16.68,TN,1,Ohio Valley
14,ANTI,312382.93617021275,National Battlefield,3287.63,MD,1,Southeast
15,APCO,217931.17021276595,National Historical Park,1774.6,VA,1,Southeast
16,APIS,175137.2340425532,National Lakeshore,69377.43,WI,1,Upper Midwest
17,APPA,310755.9,National Scenic Trail,244402.52,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",14,Multiple
18,ARCH,907518.1489361703,National Park,76678.98,UT,1,Southwest
19,ARHO,462560.5319148936,Undesignated,17.12,VA,1,Southeast
20,ARPO,45014.936170212764,National Memorial,757.51,AR,1,South
21,ASIS,2120620.5319148935,National Seashore,41311.27,"MD,VA",2,Multiple
22,AZRU,56426.97872340425,National Monument,318.4,NM,1,Southwest
23,BADL,1025354.0,National Park,242742.9,SD,1,Northern Rockies and Plains
24,BAND,250085.31914893616,National Monument,33676.67,NM,1,Southwest
25,BELA,1732.7,National Preserve,2697391.01,AK,1,OCONUS
