,Gross Area Acres,Year,Percentage Area,Desig Code,Region Code
0,344.5,1910,0.1754,9,4
1,344.5,1911,0.1094,9,4
2,344.5,1912,0.3736,9,4
3,344.5,1913,0.0682,9,4
4,344.5,1914,0.2024,9,4
5,344.5,1915,0.084,9,4
6,344.5,1916,0.121,9,4
7,344.5,1917,0.42,9,4
8,344.5,1918,0.1142,9,4
9,344.5,1919,0.0718,9,4
10,344.5,1920,0.0966,9,4
11,344.5,1921,0.4022,9,4
12,344.5,1922,0.1472,9,4
13,344.5,1923,0.081,9,4
14,344.5,1924,0.35119999999999996,9,4
15,344.5,1925,0.10220000000000001,9,4
16,344.5,1926,0.16399999999999998,9,4
17,344.5,1927,0.2192,9,4
18,344.5,1928,0.09939999999999999,9,4
19,344.5,1929,0.2404,9,4
20,344.5,1930,0.1664,9,4
21,344.5,1931,0.4254,9,4
22,344.5,1932,0.054000000000000006,9,4
23,344.5,1933,0.1834,9,4
24,344.5,1934,0.2544,9,4
25,344.5,1935,0.051,9,4
26,344.5,1936,0.19399999999999998,9,4
27,344.5,1937,0.1052,9,4
28,344.5,1938,0.257,9,4
29,344.5,1939,0.139,9,4
30,344.5,1940,0.3436,9,4
31,344.5,1941,0.21420000000000003,9,4
32,344.5,1942,0.0966,9,4
33,344.5,1943,0.10060000000000001,9,4
34,344.5,1944,0.1174,9,4
35,344.5,1945,0.12140000000000001,9,4
36,344.5,1946,0.1732,9,4
37,344.5,1947,0.0506,9,4
38,344.5,1948,0.0368,9,4
39,344.5,1949,0.07200000000000001,9,4
40,344.5,1950,0.3704,9,4
41,344.5,1951,0.2182,9,4
42,344.5,1952,0.0436,9,4
43,344.5,1953,0.409,9,4
44,344.5,1954,0.3464,9,4
45,344.5,1955,0.12560000000000002,9,4
46,344.5,1956,0.1026,9,4
47,344.5,1957,0.053399999999999996,9,4
48,344.5,1958,0.3586,9,4
49,344.5,1959,0.0516,9,4
50,344.5,1960,0.2132,9,4
51,344.5,1961,0.0732,9,4
52,344.5,1962,0.0576,9,4
53,344.5,1963,0.33799999999999997,9,4
54,344.5,1964,0.1782,9,4
55,344.5,1965,0.0728,9,4
56,344.5,1966,0.23399999999999999,9,4
57,344.5,1967,0.0382,9,4
58,344.5,1968,0.1246,9,4
59,344.5,1969,0.17079999999999998,9,4
60,344.5,1970,0.0962,9,4
61,344.5,1971,0.0674,9,4
62,344.5,1972,0.16879999999999998,9,4
63,344.5,1973,0.2792,9,4
64,344.5,1974,0.1736,9,4
65,344.5,1975,0.15460000000000002,9,4
66,344.5,1976,0.32799999999999996,9,4
67,344.5,1977,0.0742,9,4
68,344.5,1978,0.3486,9,4
69,344.5,1979,0.4668,9,4
70,344.5,1980,0.1162,9,4
71,344.5,1981,0.11199999999999999,9,4
72,344.5,1982,0.12300000000000001,9,4
73,344.5,1983,0.0882,9,4
74,344.5,1984,0.078,9,4
75,344.5,1985,0.2024,9,4
76,344.5,1986,0.12480000000000001,9,4
77,344.5,1987,0.1366,9,4
78,344.5,1988,0.25,9,4
79,344.5,1989,0.2836,9,4
80,344.5,1990,0.265,9,4
81,344.5,1991,0.2122,9,4
82,344.5,1992,0.09519999999999999,9,4
83,344.5,1993,0.32299999999999995,9,4
84,344.5,1994,0.1642,9,4
85,344.5,1995,0.0922,9,4
86,344.5,1996,0.34119999999999995,9,4
87,344.5,1997,0.11720000000000001,9,4
88,344.5,1998,0.43439999999999995,9,4
89,344.5,1999,0.2662,9,4
90,344.5,2000,0.1582,9,4
91,344.5,2001,0.059000000000000004,9,4
92,344.5,2002,0.1402,9,4
93,344.5,2003,0.2112,9,4
94,344.5,2004,0.20440000000000003,9,4
95,344.5,2005,0.069,9,4
96,344.5,2006,0.19079999999999997,9,4
97,344.5,2007,0.2758,9,4
98,344.5,2008,0.2932,9,4
99,344.5,2009,0.2588,9,4
100,344.5,2010,0.1906,9,4
101,344.5,2011,0.2554,9,4
102,344.5,2012,0.48,9,4
103,344.5,2013,0.192,9,4
104,344.5,2014,0.303,9,4
105,344.5,2015,0.29100000000000004,9,4
106,344.5,2016,0.385,9,4
107,344.5,2017,0.40700000000000003,9,4
108,344.5,2018,0.34740000000000004,9,4
109,344.5,2019,0.41600000000000004,9,4
110,344.5,2020,0.35340000000000005,9,4
111,344.5,2021,0.33840000000000003,9,4
112,344.5,2022,0.061399999999999996,9,4
113,344.5,2023,0.38880000000000003,9,4
114,344.5,2024,0.4374,9,4
115,344.5,2025,0.1974,9,4
116,49076.65,1910,0.21239999999999998,18,1
117,49076.65,1911,0.26039999999999996,18,1
118,49076.65,1912,0.2566,18,1
119,49076.65,1913,0.2336,18,1
120,49076.65,1914,0.43439999999999995,18,1
121,49076.65,1915,0.196,18,1
122,49076.65,1916,0.23379999999999998,18,1
123,49076.65,1917,0.44520000000000004,18,1
124,49076.65,1918,0.30879999999999996,18,1
125,49076.65,1919,0.0316,18,1
126,49076.65,1920,0.19879999999999998,18,1
127,49076.65,1921,0.24480000000000002,18,1
128,49076.65,1922,0.1246,18,1
129,49076.65,1923,0.2594,18,1
130,49076.65,1924,0.575,18,1
131,49076.65,1925,0.1192,18,1
132,49076.65,1926,0.3848,18,1
133,49076.65,1927,0.07,18,1
134,49076.65,1928,0.121,18,1
135,49076.65,1929,0.0594,18,1
136,49076.65,1930,0.1618,18,1
137,49076.65,1931,0.1788,18,1
138,49076.65,1932,0.1076,18,1
139,49076.65,1933,0.071,18,1
140,49076.65,1934,0.2278,18,1
141,49076.65,1935,0.1268,18,1
142,49076.65,1936,0.1052,18,1
143,49076.65,1937,0.1142,18,1
144,49076.65,1938,0.0626,18,1
145,49076.65,1939,0.0736,18,1
146,49076.65,1940,0.4138,18,1
147,49076.65,1941,0.1902,18,1
148,49076.65,1942,0.09960000000000001,18,1
149,49076.65,1943,0.17120000000000002,18,1
150,49076.65,1944,0.06860000000000001,18,1
151,49076.65,1945,0.171,18,1
152,49076.65,1946,0.1462,18,1
153,49076.65,1947,0.0184,18,1
154,49076.65,1948,0.1304,18,1
155,49076.65,1949,0.2144,18,1
156,49076.65,1950,0.1576,18,1
157,49076.65,1951,0.0674,18,1
158,49076.65,1952,0.12560000000000002,18,1
159,49076.65,1953,0.22899999999999998,18,1
160,49076.65,1954,0.1882,18,1
161,49076.65,1955,0.132,18,1
162,49076.65,1956,0.1348,18,1
163,49076.65,1957,0.16579999999999998,18,1
164,49076.65,1958,0.2858,18,1
165,49076.65,1959,0.0008,18,1
166,49076.65,1960,0.0746,18,1
167,49076.65,1961,0.013600000000000001,18,1
168,49076.65,1962,0.2432,18,1
169,49076.65,1963,0.2746,18,1
170,49076.65,1964,0.1632,18,1
171,49076.65,1965,0.157,18,1
172,49076.65,1966,0.1684,18,1
173,49076.65,1967,0.10060000000000001,18,1
174,49076.65,1968,0.0558,18,1
175,49076.65,1969,0.0168,18,1
176,49076.65,1970,0.0126,18,1
177,49076.65,1971,0.0762,18,1
178,49076.65,1972,0.3762,18,1
179,49076.65,1973,0.24719999999999998,18,1
180,49076.65,1974,0.0974,18,1
181,49076.65,1975,0.1448,18,1
182,49076.65,1976,0.2434,18,1
183,49076.65,1977,0.1834,18,1
184,49076.65,1978,0.26899999999999996,18,1
185,49076.65,1979,0.19399999999999998,18,1
186,49076.65,1980,0.10619999999999999,18,1
187,49076.65,1981,0.068,18,1
188,49076.65,1982,0.06480000000000001,18,1
189,49076.65,1983,0.065,18,1
190,49076.65,1984,0.0318,18,1
191,49076.65,1985,0.1192,18,1
192,49076.65,1986,0.0622,18,1
193,49076.65,1987,0.053,18,1
194,49076.65,1988,0.0602,18,1
195,49076.65,1989,0.1298,18,1
196,49076.65,1990,0.3194,18,1
197,49076.65,1991,0.2724,18,1
198,49076.65,1992,0.1628,18,1
199,49076.65,1993,0.021,18,1
200,49076.65,1994,0.1168,18,1
201,49076.65,1995,0.064,18,1
202,49076.65,1996,0.31079999999999997,18,1
203,49076.65,1997,0.059000000000000004,18,1
204,49076.65,1998,0.4708,18,1
205,49076.65,1999,0.365,18,1
206,49076.65,2000,0.1158,18,1
207,49076.65,2001,0.21960000000000002,18,1
