,Park_Code,Designation,Region,Gross Area Acres,Year,Percentage Area
0,ABLI,National Historical Park,Ohio Valley,344.5,1910,0.1754
1,ABLI,National Historical Park,Ohio Valley,344.5,1911,0.1094
2,ABLI,National Historical Park,Ohio Valley,344.5,1912,0.3736
3,ABLI,National Historical Park,Ohio Valley,344.5,1913,0.0682
4,ABLI,National Historical Park,Ohio Valley,344.5,1914,0.2024
5,ABLI,National Historical Park,Ohio Valley,344.5,1915,0.084
6,ABLI,National Historical Park,Ohio Valley,344.5,1916,0.121
7,ABLI,National Historical Park,Ohio Valley,344.5,1917,0.42
8,ABLI,National Historical Park,Ohio Valley,344.5,1918,0.1142
9,ABLI,National Historical Park,Ohio Valley,344.5,1919,0.0718
10,ABLI,National Historical Park,Ohio Valley,344.5,1920,0.0966
11,ABLI,National Historical Park,Ohio Valley,344.5,1921,0.4022
12,ABLI,National Historical Park,Ohio Valley,344.5,1922,0.1472
13,ABLI,National Historical Park,Ohio Valley,344.5,1923,0.081
14,ABLI,National Historical Park,Ohio Valley,344.5,1924,0.35119999999999996
15,ABLI,National Historical Park,Ohio Valley,344.5,1925,0.10220000000000001
16,ABLI,National Historical Park,Ohio Valley,344.5,1926,0.16399999999999998
17,ABLI,National Historical Park,Ohio Valley,344.5,1927,0.2192
18,ABLI,National Historical Park,Ohio Valley,344.5,1928,0.09939999999999999
19,ABLI,National Historical Park,Ohio Valley,344.5,1929,0.2404
20,ABLI,National Historical Park,Ohio Valley,344.5,1930,0.1664
21,ABLI,National Historical Park,Ohio Valley,344.5,1931,0.4254
22,ABLI,National Historical Park,Ohio Valley,344.5,1932,0.054000000000000006
23,ABLI,National Historical Park,Ohio Valley,344.5,1933,0.1834
24,ABLI,National Historical Park,Ohio Valley,344.5,1934,0.2544
25,ABLI,National Historical Park,Ohio Valley,344.5,1935,0.051
26,ABLI,National Historical Park,Ohio Valley,344.5,1936,0.19399999999999998
27,ABLI,National Historical Park,Ohio Valley,344.5,1937,0.1052
28,ABLI,National Historical Park,Ohio Valley,344.5,1938,0.257
29,ABLI,National Historical Park,Ohio Valley,344.5,1939,0.139
30,ABLI,National Historical Park,Ohio Valley,344.5,1940,0.3436
31,ABLI,National Historical Park,Ohio Valley,344.5,1941,0.21420000000000003
32,ABLI,National Historical Park,Ohio Valley,344.5,1942,0.0966
33,ABLI,National Historical Park,Ohio Valley,344.5,1943,0.10060000000000001
34,ABLI,National Historical Park,Ohio Valley,344.5,1944,0.1174
35,ABLI,National Historical Park,Ohio Valley,344.5,1945,0.12140000000000001
36,ABLI,National Historical Park,Ohio Valley,344.5,1946,0.1732
37,ABLI,National Historical Park,Ohio Valley,344.5,1947,0.0506
38,ABLI,National Historical Park,Ohio Valley,344.5,1948,0.0368
39,ABLI,National Historical Park,Ohio Valley,344.5,1949,0.07200000000000001
40,ABLI,National Historical Park,Ohio Valley,344.5,1950,0.3704
41,ABLI,National Historical Park,Ohio Valley,344.5,1951,0.2182
42,ABLI,National Historical Park,Ohio Valley,344.5,1952,0.0436
43,ABLI,National Historical Park,Ohio Valley,344.5,1953,0.409
44,ABLI,National Historical Park,Ohio Valley,344.5,1954,0.3464
45,ABLI,National Historical Park,Ohio Valley,344.5,1955,0.12560000000000002
46,ABLI,National Historical Park,Ohio Valley,344.5,1956,0.1026
47,ABLI,National Historical Park,Ohio Valley,344.5,1957,0.053399999999999996
48,ABLI,National Historical Park,Ohio Valley,344.5,1958,0.3586
49,ABLI,National Historical Park,Ohio Valley,344.5,1959,0.0516
50,ABLI,National Historical Park,Ohio Valley,344.5,1960,0.2132
51,ABLI,National Historical Park,Ohio Valley,344.5,1961,0.0732
52,ABLI,National Historical Park,Ohio Valley,344.5,1962,0.0576
53,ABLI,National Historical Park,Ohio Valley,344.5,1963,0.33799999999999997
54,ABLI,National Historical Park,Ohio Valley,344.5,1964,0.1782
55,ABLI,National Historical Park,Ohio Valley,344.5,1965,0.0728
56,ABLI,National Historical Park,Ohio Valley,344.5,1966,0.23399999999999999
57,ABLI,National Historical Park,Ohio Valley,344.5,1967,0.0382
58,ABLI,National Historical Park,Ohio Valley,344.5,1968,0.1246
59,ABLI,National Historical Park,Ohio Valley,344.5,1969,0.17079999999999998
60,ABLI,National Historical Park,Ohio Valley,344.5,1970,0.0962
61,ABLI,National Historical Park,Ohio Valley,344.5,1971,0.0674
62,ABLI,National Historical Park,Ohio Valley,344.5,1972,0.16879999999999998
63,ABLI,National Historical Park,Ohio Valley,344.5,1973,0.2792
64,ABLI,National Historical Park,Ohio Valley,344.5,1974,0.1736
65,ABLI,National Historical Park,Ohio Valley,344.5,1975,0.15460000000000002
66,ABLI,National Historical Park,Ohio Valley,344.5,1976,0.32799999999999996
67,ABLI,National Historical Park,Ohio Valley,344.5,1977,0.0742
68,ABLI,National Historical Park,Ohio Valley,344.5,1978,0.3486
69,ABLI,National Historical Park,Ohio Valley,344.5,1979,0.4668
70,ABLI,National Historical Park,Ohio Valley,344.5,1980,0.1162
71,ABLI,National Historical Park,Ohio Valley,344.5,1981,0.11199999999999999
72,ABLI,National Historical Park,Ohio Valley,344.5,1982,0.12300000000000001
73,ABLI,National Historical Park,Ohio Valley,344.5,1983,0.0882
74,ABLI,National Historical Park,Ohio Valley,344.5,1984,0.078
75,ABLI,National Historical Park,Ohio Valley,344.5,1985,0.2024
76,ABLI,National Historical Park,Ohio Valley,344.5,1986,0.12480000000000001
77,ABLI,National Historical Park,Ohio Valley,344.5,1987,0.1366
78,ABLI,National Historical Park,Ohio Valley,344.5,1988,0.25
79,ABLI,National Historical Park,Ohio Valley,344.5,1989,0.2836
80,ABLI,National Historical Park,Ohio Valley,344.5,1990,0.265
81,ABLI,National Historical Park,Ohio Valley,344.5,1991,0.2122
82,ABLI,National Historical Park,Ohio Valley,344.5,1992,0.09519999999999999
83,ABLI,National Historical Park,Ohio Valley,344.5,1993,0.32299999999999995
84,ABLI,National Historical Park,Ohio Valley,344.5,1994,0.1642
85,ABLI,National Historical Park,Ohio Valley,344.5,1995,0.0922
86,ABLI,National Historical Park,Ohio Valley,344.5,1996,0.34119999999999995
87,ABLI,National Historical Park,Ohio Valley,344.5,1997,0.11720000000000001
88,ABLI,National Historical Park,Ohio Valley,344.5,1998,0.43439999999999995
89,ABLI,National Historical Park,Ohio Valley,344.5,1999,0.2662
90,ABLI,National Historical Park,Ohio Valley,344.5,2000,0.1582
91,ABLI,National Historical Park,Ohio Valley,344.5,2001,0.059000000000000004
92,ABLI,National Historical Park,Ohio Valley,344.5,2002,0.1402
93,ABLI,National Historical Park,Ohio Valley,344.5,2003,0.2112
94,ABLI,National Historical Park,Ohio Valley,344.5,2004,0.20440000000000003
95,ABLI,National Historical Park,Ohio Valley,344.5,2005,0.069
96,ABLI,National Historical Park,Ohio Valley,344.5,2006,0.19079999999999997
97,ABLI,National Historical Park,Ohio Valley,344.5,2007,0.2758
98,ABLI,National Historical Park,Ohio Valley,344.5,2008,0.2932
99,ABLI,National Historical Park,Ohio Valley,344.5,2009,0.2588
100,ABLI,National Historical Park,Ohio Valley,344.5,2010,0.1906
101,ABLI,National Historical Park,Ohio Valley,344.5,2011,0.2554
102,ABLI,National Historical Park,Ohio Valley,344.5,2012,0.48
103,ABLI,National Historical Park,Ohio Valley,344.5,2013,0.192
104,ABLI,National Historical Park,Ohio Valley,344.5,2014,0.303
